input_sentence,label_sentence
''الناتو سيجتمعون من اجل مراقبة <extra_id_0> مؤخرا وتقاربها مع روسيا في حال تتطور سيتم اقصائها <extra_id_1> </s>,<extra_id_0> تحركات تركيا <extra_id_1> مرحليا'' </s>
'' USER USER يااريت الكل مثل جبهة النصرة الجيش الحر احرار الشام <extra_id_0> </s>,<extra_id_0> مثل داعش'' </s>
للاسف الشديد ان يصل الامر <extra_id_0> </s>,<extra_id_0> لهذه </s>
في الدقيقه ( 13 ) الهدف <extra_id_0> </s>,<extra_id_0> الاول </s>
أخص بالشكر د محمد البلتاجى الذى المت به أزمة صحية لجهوده فى تجميع الصف <extra_id_0> لتأسيسية الدستور وأسألكم الدعاء لرجل <extra_id_1> </s>,<extra_id_0> الوطنى <extra_id_1> وطنى بحق </s>
أو عدد الوحدات الاستيطانية التي بناها اليهود في الضفة الغربية والقدس أثناء <extra_id_0> </s>,<extra_id_0> فترة حكمه </s>
الكل جاهز الكل متحفر الكل ينتظر رأفت ابن الحاج علي يرفع كأس اول <extra_id_0> </s>,<extra_id_0> بطوله للموسم </s>
مقال جميل ويبرز أهمية الاردن وتقدمه في هذا المجال ولكن المستغرب <extra_id_0> لا يذكر ان أول من أدخل هذه التقنية الى الأردن هو الدكتور زيد الكيلاني ومستشفى فرح كانت فيه ولادة أول طفل أنابيب في الأردن فالفضل لله <extra_id_1> ثم للدكتور زيد الكيلاني الذي <extra_id_2> مستوى <extra_id_3> </s>,<extra_id_0> ان <extra_id_1> أولا <extra_id_2> هو معروف على <extra_id_3> العالم والاردن وشكرا </s>
الدفاع ( وليد قنديل - جلال علي - هشام <extra_id_0> </s>,<extra_id_0> عبد المنعم </s>
لما كان سعر البرميل عالميا 140 دولار قبل سنة تقريبا كان عندنا <extra_id_0> فلس والان سعر البرميل عالميا 75 دولار ولكن سعر الليتر 600 تفريبا ! <extra_id_1> </s>,<extra_id_0> سعر الليتر 800 <extra_id_1> ! </s>
إبادات جماعية أكبر وأخطر <extra_id_0> </s>,<extra_id_0> من </s>
لماذا لم يجهز الاتحاد المدرسي ورقة اردنية ؟ لماذا <extra_id_0> </s>,<extra_id_0> نغيب ؟ </s>
''كبير <extra_id_0> الألمان: على المجتمع الدولي العمل لحماية الإرث الحضاري لمدينة تدمر من خطر الإرهابيين… <extra_id_1> </s>,<extra_id_0> علماء الآثار <extra_id_1> URL </s>
أتمنى أن يرتقى <extra_id_0> العالي الأردني إلى أعلى مستويات ليحافظ الأردن على تفوقه في نوعية و متانة القوى البشرية على جميع <extra_id_1> </s>,<extra_id_0> التعليم <extra_id_1> الدول المحيطة </s>
الا وهي الدلال الذي يتمتع به <extra_id_0> </s>,<extra_id_0> جمهور </s>
وقال الناطق باسم البيت الابيض ثوماس فيتور قوله : «هذا القرار يعكس ثقتنا بأنه عبر <extra_id_0> بين الفلسطينيين واسرائيل ) نستطيع ان نحقق حل الدولتين . يجب ان نبدأ بالإعداد لذلك الآن <extra_id_1> العمل مع الشعب الفلسطيني من اجل مستقبل افضل» . وان الاميركيين بدأوا بالتفكير جديا قبل اسبوعين في رفع <extra_id_2> من بين خطوات عدة تنوي تنفيذها من اجل تشجيع <extra_id_3> محمود عباس على الانتقال <extra_id_4> المفاوضات <extra_id_5> </s>,<extra_id_0> المفاوضات المباشرة ( <extra_id_1> ونحن نواصل <extra_id_2> مستوى العلاقات كخطوة <extra_id_3> الرئيس <extra_id_4> الى <extra_id_5> المباشرة </s>
ولا تراهنو على الزعيم فانتم خاسرون ان <extra_id_0> </s>,<extra_id_0> راهنتم </s>
يجب ان يحاسب كل من سمح بانتقال هذه الاسماء عام 2007 <extra_id_0> </s>,<extra_id_0> بشكل غير </s>
4 - لعراق محتل ومدمر و أعراض تغتصب <extra_id_0> </s>,<extra_id_0> وأموال تنهب </s>
منكم السيف - <extra_id_0> </s>,<extra_id_0> ومنا </s>
ابن اخي يعمل طابع اوفس في احد مؤسات الدولة ويقوم بعملi بكل براعة واقتدار <extra_id_0> وللاسف الشديد يتقاضى راتب بنصف رواتب زملاءه من <extra_id_1> ويقومون بنفس الواجب الا ان السبب الوحيد لتدني راتبه ان تصنيفة الطبي درجة خامسة مما <extra_id_2> لة انزعاج شديد وحالة نفسية صعبة والشعور بالنقص فالواقع يختلف عن التنظير والموجود <extra_id_3> لانها سوف تصطدم في جدار التعليمات ولايوجد اي <extra_id_4> </s>,<extra_id_0> ونشاط وحيويةالا انة <extra_id_1> نفس المهنة <extra_id_2> يسبب <extra_id_3> فاي نظريات الاطباء <extra_id_4> استثنات </s>
''مدونة الملاك التعليمية: ادارة الملفات والمجلدات فى ويندوز files and <extra_id_0> </s>,<extra_id_0> URL URL </s>
الف مبروك لجماهير الوحدات العريضة لهذا الفوز وعقبال <extra_id_0> </s>,<extra_id_0> لقب </s>
منكم الفولاذ والنار - <extra_id_0> </s>,<extra_id_0> ومنا </s>
''بقي بوتن وفيا <extra_id_0> نستذكر تصريحه الشهير في سبتمبر الماضي بتأكيده على حق إيران في رفع حصتها الإنتاجية و… <extra_id_1> </s>,<extra_id_0> لحليفه الإيراني، <extra_id_1> URL </s>
''اليمنية| الاحمر يجري اتصالا هاتفيا بنائب رئيس الوزراء وزير <extra_id_0> </s>,<extra_id_0> الداخلية URL </s>
نتمنى من الأمن العام إتخاذ أقصى العقوبات <extra_id_0> واستخدام الكاميرات الموضوعة في الشوارع لأخذ أرقام السيارات واتخاذ اجراءات رادعة أو ايقاف الموكب في لحظته ، <extra_id_1> الناس ( لأنوا بصراحة الكلام والحكي ما بنفع <extra_id_2> </s>,<extra_id_0> بحق صاحب المناسبة <extra_id_1> حتى يرتدع <extra_id_2> معنا </s>
لاعب بحجم زيد لا يلعب تحت السلة ويصر على اللعب <extra_id_0> </s>,<extra_id_0> من خارج </s>
عامة أن القاعدة قريبة <extra_id_0> </s>,<extra_id_0> منا </s>
لا نشمت بالفيصلي <extra_id_0> كيف لفريق قديم يخسر بهذه القسوة و يفرط باسمه امام فريق صاعد من الدرجة الاولى و يغيب <extra_id_1> </s>,<extra_id_0> و لكننا مذهولين <extra_id_1> نصف </s>
وهنا اشبه طلبكي اختي الكريمة <extra_id_0> من خزينة الدولة الآف الدنانير وهو اصلا ليس فقيرا او محتاجا لها . . الا ان الدولة وبعد القبض عليه متلبسا تطلق <extra_id_1> ان يقسط عليهم المبلغ وباقل التكاليف رغم بشاعة جرمه وتعديه <extra_id_2> </s>,<extra_id_0> بانسان يسرق <extra_id_1> سراحه بشرط <extra_id_2> على حقوق </s>
'من اقوال <extra_id_0> المعلقين محمد رمضان ماجد عبدالله لابد ان تكون هناك قناة رياضية متخصصه لنجوميته وابداعه تقديرا'' لتاريخه المجيد <extra_id_1> </s>,<extra_id_0> شيخ <extra_id_1> لوطنه ولناديه' </s>
الف مبروك لنادي بني حسن التاهل انجاز يسجل <extra_id_0> </s>,<extra_id_0> للاعبين والادارة </s>
كل عام وانتم <extra_id_0> </s>,<extra_id_0> بألف </s>
''نتحمل مسؤولية <extra_id_0> الرسائل من بعد تنسيقها بحيث لا يمكن الوصول إليها إلا من قبل صاحب الرسالة.… <extra_id_1> </s>,<extra_id_0> الحفاظ على <extra_id_1> URL </s>
كيف لا والزعيم سيمتطي <extra_id_0> جواده في طريقه نحو المجد . . نحو اللقب . <extra_id_1> </s>,<extra_id_0> صهوة <extra_id_1> . نحو </s>
3 - ستاد الامير محمد <extra_id_0> </s>,<extra_id_0> : </s>
الى كل الجماهيير احضروا باكرا لتشاهدوا المتعه الوحداتييه الفن الوحداتي الاصيل غدا في <extra_id_0> </s>,<extra_id_0> ملب النار </s>
فما الزعامة إلا للزعيم <extra_id_0> </s>,<extra_id_0> الأوحد </s>
'الفراج يشن هجوم بطريقة قذرة على اتحاد '' منتخب '' ويتحدث عن العدالة و يبرر العنصرية <extra_id_0> يا <extra_id_1> </s>,<extra_id_0> فلول اكشن <extra_id_1> دوري' </s>
1 : مستعد للقاء رئيس الوزراء الإسرائيلي بنيامين نتنياهو إذا تحددت <extra_id_0> </s>,<extra_id_0> مرجعية المفاوضات </s>
الرحمة للشهيد - اللهم ارحم الشهيد واحمي الاردن <extra_id_0> </s>,<extra_id_0> من كل </s>
وستأخذ الحكومة بعين الاعتبار عمليات الدمج في موازنة 2011 . كما ستعمل على تقليص الفجوات بين <extra_id_0> المختلفة ، وكذلك في <extra_id_1> </s>,<extra_id_0> المجالس <extra_id_1> سلم الرواتب الموجود </s>
